"beta1_1" "beta2_1" "beta1_2" "beta2_2"
19.21351 4.002063 -30.60826 -3.841825
18.15691 3.86701 -30.17576 -3.959974
18.19017 3.751789 -30.5926 -3.857066
18.1516 3.998554 -30.19562 -3.976781
18.28264 3.894131 -30.2531 -3.920478
18.62941 3.591875 -30.26346 -3.893245
18.17069 3.908688 -30.32267 -3.848938
18.22166 3.943021 -30.35979 -3.84039
17.58897 4.138002 -30.00766 -3.903616
18.18113 4.035975 -30.11383 -3.847899
19.26781 3.779199 -30.32276 -3.887702
19.29169 3.840364 -30.11898 -3.989169
18.91667 4.020664 -29.8933 -3.974742
17.85227 4.062768 -30.29111 -4.008141
17.44671 3.486416 -30.4804 -3.866374
17.04453 3.715119 -30.40481 -3.853068
18.41097 4.001228 -30.62795 -3.883153
18.61311 4.184581 -30.28611 -3.882935
17.74424 3.921431 -30.42407 -3.941312
17.9489 4.003354 -30.45721 -3.893982
18.29501 3.982938 -30.13795 -3.896634
19.50998 4.098679 -30.12064 -3.878909
18.78498 3.796376 -30.34432 -3.877792
18.67602 3.984681 -30.41564 -3.965583
18.44945 3.613114 -30.25046 -3.878106
18.76621 3.81127 -30.5763 -3.934531
19.18129 4.264866 -30.23648 -3.977584
18.51381 3.694636 -30.09929 -3.878348
17.94619 3.511053 -29.99254 -3.845447
18.44631 3.66598 -30.23514 -3.886243
18.40402 3.87022 -30.27827 -3.933991
18.99239 3.515101 -30.24309 -3.947511
19.0857 4.284328 -30.2297 -3.902906
17.75846 3.922188 -29.90952 -3.917678
19.29951 3.756206 -30.24696 -3.980616
19.24735 3.848055 -30.17052 -3.935221
18.59316 3.877496 -30.63468 -3.959896
18.64325 4.04496 -30.37105 -3.847962
18.71742 3.778972 -30.67587 -3.949908
19.03464 3.748955 -30.55366 -3.955063
18.55477 4.328236 -30.27545 -3.899054
18.37581 3.603753 -30.28572 -3.847396
18.67124 3.780018 -30.22645 -3.92568
19.22047 3.787311 -30.17888 -3.825899
18.45986 3.816208 -30.06578 -3.902733
18.6155 3.903054 -30.05662 -3.890248
19.72063 3.671468 -30.54689 -3.889576
18.96699 4.117711 -30.22729 -3.86503
18.20436 3.961534 -30.21639 -3.896852
18.63816 4.219705 -30.18128 -3.978463
17.89895 3.749572 -30.14348 -3.867805
17.71221 3.760137 -30.23083 -3.913879
