Delta_1 Delta_2 
-2.478949 6.221542 
-2.686761 7.054195 
-2.790551 7.378722 
-3.249281 8.224247 
-3.346129 9.224917 
-3.995113 9.655725 
-2.997745 7.55119 
-4.396405 7.319584 
-4.523072 9.123635 
-5.300861 10.05473 
-7.38981 9.095244 
-6.563294 9.087985 
-5.274654 12.38751 
-5.334683 10.94482 
-4.71606 9.174763 
-4.735735 8.486485 
-4.648611 9.910015 
-4.395264 8.909559 
-4.745796 7.218417 
-4.871024 7.257268 
-4.373235 6.948017 
-4.01739 7.837157 
-3.787204 8.00175 
-4.009804 9.035507 
-4.665272 8.785918 
-3.501513 8.833242 
-3.948159 10.13613 
-4.070445 8.817525 
-4.261013 6.913582 
-2.977439 9.282502 
-2.320574 9.626394 
-3.533108 8.704041 
-3.614471 7.906844 
-2.964677 7.205142 
-2.925288 6.754239 
-2.981583 7.815698 
-2.989929 7.422646 
-3.160353 6.924044 
-2.774868 6.0773 
-2.802669 5.136433 
-2.854323 4.517505 
-4.512041 6.49735 
-3.303033 5.782953 
-2.338585 6.917817 
-2.302102 6.459495 
-1.988581 6.723806 
-3.329888 8.485973 
-2.848425 8.717509 
-3.349305 7.965669 
-3.85188 10.06473 
-5.010997 9.218178 
-5.277853 10.44075 
-6.093223 10.39283 
-5.988789 9.31817 
-6.436788 10.26702 
-4.713942 8.67925 
-4.54053 8.158801 
-5.017551 7.905534 
-5.200024 8.027909 
-4.837945 7.947059 
-4.97518 7.994821 
-5.462402 7.153716 
-5.003903 8.811634 
-4.765533 8.530631 
-5.66132 11.27904 
-6.410337 12.73572 
-5.754947 11.52044 
-5.31922 10.26303 
-4.777592 9.529263 
-4.5082 8.44826 
-3.54554 7.661589 
-3.282186 6.803611 
-2.643901 6.471967 
-3.421801 7.040731 
-3.620819 6.462889 
-4.809084 6.338978 
-3.419054 7.572149 
-3.111306 7.119881 
-3.23393 8.916441 
-2.99394 10.81011 
-3.489195 7.665358 
-3.217108 7.778195 
-3.075923 7.743924 
-2.903292 6.206184 
-3.413932 6.996713 
-4.38255 7.475257 
-4.367529 7.627582 
-4.634675 8.796136 
-3.989069 8.687944 
-3.032923 7.595644 
-3.799097 7.531116 
-4.237661 7.721142 
-3.26747 10.63586 
-3.27137 11.35651 
-4.264746 10.94009 
-6.7695 10.06238 
-4.442058 10.04886 
-3.930251 6.849947 
-3.230341 8.194046 
-3.477873 7.976994 
-3.932447 9.595996 
-3.202159 7.247815 
-3.191818 7.674268 
-2.671177 9.629291 
-2.793787 8.496487 
-2.602766 7.648351 
-2.607317 7.469336 
-2.836421 7.708879 
-2.642425 7.812243 
-1.99685 6.916388 
-1.84379 6.794216 
-2.368828 6.4218 
-1.953283 6.151509 
-1.647562 4.993082 
-1.718531 4.332172 
-1.988581 4.299098 
-1.596208 4.509926 
-1.541297 4.914095 
-1.376686 5.142374 
-1.121074 5.284381 
-1.095476 5.578734 
-1.63879 4.867292 
-1.909602 4.919076 
-2.416978 4.328186 
-2.194035 4.513973 
-2.193206 6.132756 
-1.898678 5.225775 
-2.15252 5.022689 
-2.14547 4.980923 
-2.099212 4.734227 
-2.234829 5.499503 
-2.351817 5.154841 
-2.542821 5.213742 
-2.118887 5.187923 
-2.198478 5.33408 
-1.766023 5.629398 
-1.813428 5.721747 
-1.783453 4.957736 
-1.621664 5.127447 
-2.008706 5.430497 
-2.021715 6.312112 
-2.589487 6.317479 
-2.883771 7.345848 
-3.861202 10.44066 
-3.897561 6.197929 
-3.432097 7.849888 
-2.94086 7.968114 
-2.457176 6.281771 
-2.491711 5.6882 
-2.227328 4.043179 
-2.131389 3.789389 
-2.608563 3.089354 
-2.638167 5.084837 
-2.536474 6.581048 
-2.464384 5.050255 
-2.564775 5.623937 
-2.628264 7.024591 
-3.779995 5.567832 
-3.250791 5.50631 
-2.903504 5.833247 
-2.869011 6.520483 
-2.854159 6.567848 
-2.930468 6.459857 
-3.014558 6.88996 
-3.081124 7.395281 
-3.049277 6.805647 
-3.134481 7.82721 
-3.397205 6.138827 
-3.681217 6.077986 
-2.937087 6.504673 
-2.097506 5.960485 
