beta1_1 beta2_1 beta1_2 beta2_2 
-29.06753 -3.859161 20.55091 4.177292 
-29.14953 -4.359051 21.67653 4.457381 
-29.68156 -4.106257 21.70522 4.801926 
-29.9995 -4.263899 22.02931 5.198197 
-30.00629 -4.067886 21.92079 5.615481 
-30.46192 -3.990639 23.29109 4.541541 
-29.70141 -3.954634 21.87988 3.710413 
-30.88293 -4.123736 19.80649 4.082573 
-30.80745 -3.924976 21.97159 4.113635 
-31.09652 -3.818813 22.34502 4.299544 
-33.16518 -3.309277 22.44963 2.955153 
-31.07096 -4.506212 19.68755 4.784032 
-30.75546 -4.215214 22.67506 4.692198 
-31.65891 -4.22145 24.10265 5.292634 
-31.38101 -4.112847 22.9645 4.860983 
-30.71782 -3.860207 21.22388 2.867749 
-31.21297 -3.909068 22.43588 4.168161 
-32.88614 -3.934827 26.6655 3.240539 
-31.82811 -4.077806 21.45193 3.999423 
-31.49344 -3.826981 20.97269 4.946912 
-31.15926 -3.997958 21.41007 3.88592 
-29.11723 -4.601918 20.88627 5.040538 
-31.97336 -4.150335 25.06059 4.468834 
-32.27768 -4.115951 24.79782 5.873031 
-30.84662 -4.105331 20.77439 4.204166 
-30.09893 -4.099134 21.73915 2.884468 
-29.62222 -4.142966 21.47224 5.214163 
-29.82414 -4.200951 22.70791 4.742654 
-31.1938 -4.002909 22.25597 3.645268 
-30.17307 -4.104349 24.58074 3.705485 
-29.38936 -4.020679 23.74728 4.573692 
-30.18736 -4.022657 22.24913 4.910838 
-30.39137 -4.133027 21.2512 3.690358 
-31.75117 -4.043266 25.50953 4.664019 
-31.69121 -3.95232 25.33168 5.041563 
-30.18279 -3.957202 22.82302 3.995073 
-31.94012 -4.127822 25.947 5.454001 
-31.35616 -4.086235 22.81078 5.076048 
-30.75917 -3.721193 23.68136 4.533762 
-31.82939 -4.215084 22.61697 5.141443 
-33.31646 -4.019745 23.97714 5.002556 
-31.2934 -3.945651 21.44239 4.047769 
-35.11197 -4.059013 27.95948 3.465581 
-29.1046 -3.881978 22.12466 4.206504 
-29.80777 -3.963421 23.06258 4.091968 
-31.41442 -3.900042 27.76491 5.104321 
-30.16713 -4.153295 23.14049 6.018211 
-30.04046 -4.039019 22.984 4.885632 
-29.77157 -3.998659 21.8406 5.01683 
-29.70974 -3.998417 22.16541 4.723914 
-31.95477 -4.164588 23.22556 5.568415 
-31.66174 -3.880846 22.49633 4.565639 
-30.93615 -3.691167 20.94087 2.645141 
-31.74242 -3.784589 21.05797 4.899561 
-31.42659 -3.478532 22.39713 4.199387 
-31.00981 -4.12016 21.40415 4.351985 
-30.35689 -3.896563 22.09859 4.314849 
-32.08695 -3.912643 20.89059 5.49967 
-31.25899 -4.035415 20.2791 5.273367 
-31.59558 -3.883021 21.80135 4.520446 
-30.66091 -4.19207 20.60903 5.419545 
-32.10926 -3.981616 21.68554 4.582716 
-31.2035 -3.926959 21.35267 4.698677 
-30.78773 -4.077935 21.23228 3.468545 
-31.25367 -3.63089 23.65197 4.17193 
-30.24795 -4.149412 21.87564 4.528728 
-31.26594 -3.552829 22.88719 4.430058 
-30.32718 -4.232025 22.05094 4.749433 
-31.04892 -4.071831 21.53017 4.112651 
-31.53127 -3.836309 22.09961 3.66517 
